_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,please_identify_if_the_sentence_is_a_gender_generalization_refer_to_the_rules_provided_above,please_identify_if_the_sentence_is_a_gender_generalization_refer_to_the_rules_provided_above:confidence,orig__golden,fieldname_gold,fieldname_gold_reason,please_identify_if_the_sentence_is_a_gender_generalization_refer_to_the_rules_provided_above_gold,sentence,source
2268314419,FALSE,finalized,3,5/2/2019 3:06,gender_generalization,0.6784,,,,,"(tr)] When taking this oath the scout will stand, holding up his right hand, palm to the front, thumb resting on the nail of the little finger and the other three fingers upright and together.",boy scouts 
2268314420,FALSE,finalized,3,5/2/2019 12:32,not_a_gender_generalization,1,,,,,"*       *       *       *       * The women of Oregon have raised a statue to this young explorer, and there she stands in Portland, facing the Coast, pointing to the Columbia River where it reaches the sea.",girl scouts
2268314421,FALSE,finalized,3,5/2/2019 3:48,gender_generalization,0.6531,,,,,"* * * But those extravagances * * *, do not justify penalizing the speaker by depriving him of the platform or by punishing him for his conduct.",Constitution Analysis
2268314422,FALSE,finalized,3,5/2/2019 13:10,not_a_gender_generalization,0.6657,,,,,"* * * If the President is of the opinion that the relations of this country with foreign nations are, or are likely to be, endangered by action deemed by him inconsistent with a due neutrality, it is his right and duty to protect such relations; and in doing so, in the absence of any statutory restrictions, he may act through such executive office or department as appears best adapted to effectuate the desired end.",Constitution Analysis
2268314423,FALSE,finalized,3,5/2/2019 2:39,gender_generalization,0.6619,,,,,"* * * It is open to a friendly government to assert that such is the public status of the vessel and to claim her immunity from suit, either through diplomatic channels or, if it chooses, as a claimant in the courts of the United States.",Constitution Analysis
2268314424,FALSE,finalized,3,5/2/2019 4:17,gender_generalization,0.6607,,,,,"* * * The measure of legality of such a seizure is, therefore, that the seizing officer shall have reasonable or probable cause for believing that the automobile which he stops and seizes has contraband liquor therein which is being illegally transported.",Constitution Analysis
2268314425,FALSE,finalized,3,5/2/2019 4:03,gender_generalization,1,,,,,"* * * When a suspect speaks because he is overborne, it is immaterial whether he has been subjected to a physical or a mental ordeal.",Constitution Analysis
2268314426,FALSE,finalized,3,5/2/2019 4:06,gender_generalization,0.6662,,,,,"* * * Whether the President in fulfilling his duties, as Commander in Chief, in suppressing an insurrection, has met with such armed hostile resistance, and a civil war of such alarming proportions as will compel him to accord to them the character of belligerents, is a question to be decided _by him_, and this Court must be governed by the decisions and acts of the political department of the Government to which this power was entrusted.",Constitution Analysis
2268314427,FALSE,finalized,3,5/2/2019 3:24,gender_generalization,1,,,,,"* * *[958] However, a conviction before a mayor's court does not become constitutionally defective by reason of the fact that the fixed salary of the mayor is paid out of the fund to which the fines imposed by him contribute.",Constitution Analysis
2268314428,FALSE,finalized,3,5/2/2019 4:10,not_a_gender_generalization,1,,,,,"* All fines that have been given to us unjustly and against the law of the land, and all fines that we have exacted unjustly, shall be entirely remitted or the matter decided by a majority judgement of the twenty-five barons referred to below in the clause for securing the peace together with Stephen, archbishop of Canterbury, if he can be present, and such others as he wishes to bring with him.",magna carta
2268314429,FALSE,finalized,3,5/2/2019 12:38,gender_generalization,0.6955,,,,,": show exactly under what circumstances the bee-moth succeeds in establishing itself in a hive; thus explaining why some stocks flourish in spite of all neglect, while others, in the common hives, fall a prey to the moth, let their owner be as careful as he will, I shall finally show how in suitable hives, with proper precautions, it may always be kept from seriously annoying the bees.",honey bee
2268314430,FALSE,finalized,3,5/2/2019 13:10,gender_generalization,1,,,,,; and every good citizen should lend his hand to help in every way possible the enforcement of law in each department.,boy scouts 
2268314431,FALSE,finalized,3,5/2/2019 3:08,problematic_sentence,0.3423,,,,,";[584] so also as to brooms sent in quantity for the fulfillment of a number of orders, and subject to rejection by the purchaser if deemed by him not up to sample.",Constitution Analysis
2268314432,FALSE,finalized,3,5/2/2019 2:52,gender_generalization,0.6668,,,,,"[1] Consistently with this view, federal courts more recently have declared that when local party authorities, acting pursuant to regulations prescribed by a party's State executive committee, refused to permit a Negro, on account of his race, to vote in a primary to select candidates for the office of United States Senator, they deprived him of a right secured to him by the Constitution and laws, in violation of this amendment.",Constitution Analysis
2268314433,FALSE,finalized,3,5/2/2019 3:44,gender_generalization,0.649,,,,,"[10] If the court has acquired jurisdiction, the judgment is entitled to full faith and credit though the court may not be able to enforce it by execution in the State in which it was rendered, as where the defendant left the State after service upon him and took all his property with him.",Constitution Analysis
2268314434,FALSE,finalized,3,5/2/2019 3:30,gender_generalization,0.6545,,,,,"[100] Ordinarily, the mere interest of an official as such, in contrast to an actual injury sustained by a natural or artificial person through invasion of personal or property rights, has not been deemed adequate to enable him to invoke the protection of the Fourteenth Amendment against State action.",Constitution Analysis
2268314435,FALSE,finalized,3,5/2/2019 3:56,not_a_gender_generalization,0.6863,,,,,"[101] By the same warrant he may bring hostilities to a conclusion by arranging an armistice, stipulating conditions which may determine to a great extent the ensuing peace.",Constitution Analysis
2268314436,FALSE,finalized,3,5/2/2019 2:45,gender_generalization,1,,,,,[105] One such relationship is that of a stockholder and his corporation.,Constitution Analysis
2268314437,FALSE,finalized,3,5/2/2019 4:17,gender_generalization,1,,,,,"[1058] But, as shown above, a naturalized citizen is subject at any time to have his good faith in taking the oath of allegiance to the United States inquired into, and to lose his citizenship if lack of such faith is shown in proper proceedings.",Constitution Analysis
2268314438,FALSE,finalized,3,5/2/2019 4:06,gender_generalization,1,,,,,"[1059] Also, a person who has become a national by naturalization may lose his nationality by having a continuous residence for three years in the territory of a foreign state of which he was formerly a national or in which the place of his birth is situated, or by having a continuous residence for five years in any other foreign state or states.",Constitution Analysis
2268314439,FALSE,finalized,3,5/2/2019 3:57,not_a_gender_generalization,0.6671,,,,,"[106] Such rules and regulations are, moreover, it would seem, subject in wartime to his amendment at discretion.",Constitution Analysis
2268314440,FALSE,finalized,3,5/2/2019 2:52,not_a_gender_generalization,0.6867,,,,,"[1064] RIGHT OF EXPATRIATION: LOSS OF CITIZENSHIP Notwithstanding evidence in early court decisions[1065] and in the Commentaries of Chancellor Kent of a brief acceptance of the ancient English doctrine of perpetual and unchangeable allegiance to the government of one's birth, whereby a citizen is precluded from renouncing his allegiance without permission of that government, the United States, since enactment of the act of 1868,[1066] if indeed not earlier, has expressly recognized the right of everyone to expatriate himself and choose another country.",Constitution Analysis
2268314441,FALSE,finalized,3,5/2/2019 12:32,gender_generalization,1,,,,,[1094] An owner aggrieved by discrimination is entitled to have his assessment reduced to the common level.,Constitution Analysis
2268314442,FALSE,finalized,3,5/2/2019 4:12,gender_generalization,0.68,,,,,[110] But the provision is not regarded by the Court as preventing the President from displacing an officer of the Army or Navy by appointing with the advice and consent of the Senate another person in his place.,Constitution Analysis
2268314443,FALSE,finalized,3,5/2/2019 3:43,gender_generalization,1,,,,,"[1103] When State action is attacked under the due process clause, the assailant usually charges also that he is denied the equal protection of the laws.",Constitution Analysis
2268314444,FALSE,finalized,3,5/2/2019 13:03,gender_generalization,1,,,,,"[1109] A State law governing fraudulent transfers was found to be compatible with the act of Congress,[1110] as was a statute which provided that a discharge in bankruptcy should be unavailing to terminate the suspension of the driver's license of a person who failed to pay a judgment rendered against him for damages resulting from his negligent operation of a motor vehicle.",Constitution Analysis
2268314445,FALSE,finalized,3,5/2/2019 4:25,gender_generalization,1,,,,,[1133] A statute providing that no person shall be denied opportunity for employment because he is not a member of a union does not offend the equal protection clause.,Constitution Analysis
2268314446,FALSE,finalized,3,5/2/2019 3:59,not_a_gender_generalization,1,,,,,"[115] Pardons and Reprieves THE LEGAL NATURE OF A PARDON In the first case to be decided concerning the pardoning power, Chief Justice Marshall, speaking for the Court, said: As this power had been exercised from time immemorial by the executive of that nation whose language is our language, and to whose judicial institutions ours bear a close resemblance; we adopt their principles respecting the operation and effect of a pardon, and look into their books for the rules prescribing the manner in which it is to be used by the person who would avail himself of it.",Constitution Analysis
2268314447,FALSE,finalized,3,5/2/2019 4:22,gender_generalization,1,,,,,"[116] However, a person cannot be deprived of his liberty under a vague statute which subjected to fine or imprisonment, as a gangster, any one not engaged in any lawful occupation, known to be a member of a gang consisting of two or more persons, and who had been convicted of a crime in any State in the Union.",Constitution Analysis
2268314448,FALSE,finalized,3,5/2/2019 4:08,gender_generalization,1,,,,,"[117] Liberties Pertaining to Education (of Teachers, Parents, Pupils).--A State law forbidding the teaching in any private denominational, parochial, or public school, of any modern language, other than English, to any child who has not successfully passed the eighth grade was declared, in Meyer _v._ Nebraska[118] to be an unconstitutional interference with the right of a foreign language teacher to teach and of parents to engage him so to instruct their children.",Constitution Analysis
2268314449,FALSE,finalized,3,5/2/2019 4:12,gender_generalization,0.6471,,,,,"[1180] Congress may, however, modify rights under an existing patent, provided vested property rights are not thereby impaired,[1181] but it does not follow that it may authorize an inventor to recall rights which he has granted to others or reinvest in him rights of property which he had previously conveyed for a valuable and fair consideration.",Constitution Analysis
2268314450,FALSE,finalized,3,5/2/2019 3:51,gender_generalization,0.3426,,,,,[1193] The action of prison officials in suppressing a prisoner's appeal documents during the statutory period for appeal constitutes a denial of equal protection by refusing him privileges of appeal that were available to others.,Constitution Analysis
2268314451,FALSE,finalized,3,5/2/2019 13:03,gender_generalization,0.6662,,,,,"[120] As to a student, neither his liberty to pursue his happiness nor his property or property rights were infringed when he was denied admission to a State university for refusing to comply with a law requiring renunciation of allegiance to, or affiliation with, a Greek letter fraternity.",Constitution Analysis
2268314452,FALSE,finalized,3,5/2/2019 4:22,not_a_gender_generalization,0.6762,,,,,"[120] However, in an unacknowledged departure from this ruling the Court has subsequently held that the full faith and credit clause did not preclude California from disregarding a Massachusetts workmen's compensation statute and applying its own conflicting act in the case of an injury suffered by a Massachusetts employee of a Massachusetts employer while in California in the course of his employment.",Constitution Analysis
2268314453,FALSE,finalized,3,5/2/2019 3:10,gender_generalization,1,,,,,"[1206] An accused does not, however, have a legal right to a jury composed in whole or in part of members of his own race.",Constitution Analysis
2268314454,FALSE,finalized,3,5/2/2019 3:36,gender_generalization,1,,,,,"[1240] Since the possession of government insurance payable to the person of his choice, is calculated to enhance the morale of the serviceman, Congress may permit him to designate any beneficiary he desires, irrespective of State law, and may exempt the proceeds from the claims of creditors.",Constitution Analysis
2268314455,FALSE,finalized,3,5/2/2019 3:52,not_a_gender_generalization,1,,,,,"[127] By close divisions, it also sustained the right of a State to forbid the conscription of neutrals by the picketing of a restaurant solely because the owner had contracted for the erection of a building (not connected with the restaurant and located some distance away) by a contractor who employed nonunion men;[128] or the picketing of a shop operated by the owner without employees to induce him to observe certain closing hours.",Constitution Analysis
2268314456,FALSE,finalized,3,5/2/2019 12:32,not_a_gender_generalization,1,,,,,"[13] THE WALL OF SEPARATION DOCTRINE In 1802 President Jefferson wrote a letter to a group of Baptists in Danbury, Connecticut in which he declared that it was the purpose of the First Amendment to build a wall of separation between Church and State,[14] and in Reynolds _v._ United States,[15] the first Anti-Mormon Case, Chief Justice Waite, speaking for the unanimous Court, characterized this as almost an authoritative declaration of the scope and effect of the amendment, one which left Congress free to reach actions which were in violation of social duties or subversive of good order.",Constitution Analysis
2268314457,FALSE,finalized,3,5/2/2019 4:01,gender_generalization,1,,,,,"[130] In exercising the power granted by section 5 to judge the qualifications of its own members, each House has asserted the power to inquire into the conduct of a member-elect prior to his election.",Constitution Analysis
2268314458,FALSE,finalized,3,5/2/2019 3:27,gender_generalization,0.6489,,,,,"[1316] ALIEN ENEMIES The status of alien enemies was first considered in connection with the passage of the Alien Act of 1798,[1317] whereby the President was authorized to deport any alien or to license him to reside within the United States at any place to be designated by the President.",Constitution Analysis
2268314459,FALSE,finalized,3,5/2/2019 12:38,gender_generalization,1,,,,,"[140] In contrast with the decision in United States _v._ Ju Toy[141] that a person seeking entrance to the United States was not entitled to a judicial hearing on his claim of citizenship, a person arrested and held for deportation is entitled to a day in court if he denies that he is an alien.",Constitution Analysis
2268314460,FALSE,finalized,3,5/2/2019 3:15,gender_generalization,1,,,,,"[1437] While the Supreme Court conceded at an early date that the authority of the federal courts to entertain petitions for _habeas corpus_ derived solely from acts of Congress,[1438] a narrow majority recently asserted the right to expand the scope of the writ by judicial interpretation and to sanction its use for a purpose unknown to the common law, i.e., to bring a prisoner into court to argue his own appeal.",Constitution Analysis
2268314461,FALSE,finalized,3,5/2/2019 4:16,gender_generalization,1,,,,,"[144] * * * These decisions have established the propositions that the rules of law concerning the employer's responsibility for personal injury or death of an employee arising in the course of employment are not beyond alteration by legislation in the public interest; that no person has a vested right entitling him to have these any more than other rules of law remain unchanged for his benefit; and that, if we exclude arbitrary and unreasonable changes, liability may be imposed upon the employer without fault, and the rules respecting his responsibility to one employee for the negligence of another and respecting contributory negligence and assumption of risk are subject to legislative change.",Constitution Analysis
2268314462,FALSE,finalized,3,5/2/2019 3:54,gender_generalization,0.6809,,,,,"[145] Accordingly, a State statute which provided an exclusive system to govern the liabilities of employers and the rights of employees and their dependents, in respect of compensation for disabling injuries and death caused by accident in certain hazardous occupations,[146] was held not to work a deprivation of property without due process of law in rendering the employer liable irrespective of the doctrines of negligence, contributory negligence, assumption of risk, and negligence of fellow-servants, nor in depriving the employee, or his dependents, of the higher damages which, in some cases, might be rendered under these doctrines.",Constitution Analysis
2268314463,FALSE,finalized,3,5/2/2019 4:06,not_a_gender_generalization,0.671,,,,,"[1451] The proceeding may not be used to secure an adjudication of a question which, if determined in the prisoner's favor, could not result in his immediate release.",Constitution Analysis
2268314464,FALSE,finalized,3,5/2/2019 3:37,not_a_gender_generalization,0.6643,,,,,"[151] Conversely, the President may, if dissatisfied with amendments which have been affixed by the Senate to a proposed treaty or with the conditions stipulated by it to ratification, decide to abandon the negotiation, which he is entirely free to do.",Constitution Analysis
2268314465,FALSE,finalized,3,5/2/2019 3:21,gender_generalization,0.6669,,,,,[154] It may punish a State election officer for violating his duty under a State law governing Congressional elections.,Constitution Analysis
2268314466,FALSE,finalized,3,5/2/2019 3:30,problematic_sentence,0.3455,,,,,"[1568] Changes in Punishment Statutes which changed an indeterminate sentence law to require a judge to impose the maximum sentence, whereas formerly he could impose a sentence between the minimum and maximum;[1569] abolished a rule which prevented a subsequent conviction of first-degree murder after a jury had found the accused guilty in the second-degree by a verdict which had been set aside;[1570] required criminals sentenced to death to be kept thereafter in solitary confinement,[1571] or allowed a warden to fix, within limits of one week, and keep secret the time of execution,[1572] were held to be _ex post facto_ as applied to offenses committed prior to their enactment.",Constitution Analysis
2268314467,FALSE,finalized,3,5/2/2019 3:28,gender_generalization,1,,,,,[16] An employee of the Post Office Department is not required to submit to examination by State authorities concerning his competence and to pay a license fee before performing his official duty in driving a motor truck for transporting the mail.,Constitution Analysis
2268314468,FALSE,finalized,3,5/2/2019 3:33,gender_generalization,1,,,,,"[160] The right of a State to the fisheries within its borders he then held to be in the nature of a property right, held by the State for the use of the citizens thereof; the State was under no obligation to grant co-tenancy in the common property of the State, to the citizens of all the other States.",Constitution Analysis
2268314469,FALSE,finalized,3,5/2/2019 4:10,not_a_gender_generalization,1,,,,,[1618] The Dartmouth College Case The third view is the one formulated by Chief Justice Marshall in his controlling opinion in Trustees of Dartmouth College _v._ Woodward.,Constitution Analysis
2268314470,FALSE,finalized,3,5/2/2019 3:57,not_a_gender_generalization,0.6671,,,,,"[164] Likewise, the Court has held that the general interest of a citizen in having the government administered by law does not give him a standing to contest the validity of governmental action.",Constitution Analysis
2268314471,FALSE,finalized,3,5/2/2019 13:11,not_a_gender_generalization,0.6698,,,,,"[1652] _See_ in this connection the cases cited by Justice Sutherland in his opinion for the Court in Phillips Petroleum Co. _v._ Jenkins, 297 U.S. 629 (1936).",Constitution Analysis
2268314472,FALSE,finalized,3,5/2/2019 4:06,gender_generalization,0.6275,,,,,[166] Similarly an electric power company has been held not to have a sufficient interest to maintain an injunction suit to restrain the making of federal loans and grants to municipalities for the construction or purchase of electric power distribution plants on the ground that the lender owes the sufferer no enforcible duty to refrain from making the unauthorized loan; and the borrower owes him no obligation to refrain from using the proceeds in any lawful way the borrower may choose.,Constitution Analysis
2268314473,FALSE,finalized,3,5/2/2019 3:38,gender_generalization,0.6545,,,,,"[169] Also in harmony with the last mentioned pair of cases is Auto Workers _v._ Wisconsin Board[170] in which was upheld enforcement of the Wisconsin Employment Peace Act which proscribed as an unfair labor practice efforts of a union, after collective bargaining negotiations had become deadlocked, to coerce an employer through a slow-down in production achieved by the irregular, but frequent, calling of union meetings during working hours without advance notice to the employer or notice as to whether or when the employees would return, and without informing him of the specific terms sought by such tactics.",Constitution Analysis
2268314474,FALSE,finalized,3,5/2/2019 4:16,gender_generalization,1,,,,,"[1739] When the importer has so acted upon the thing imported, wrote Chief Justice Marshall, that it has become incorporated and mixed up with the mass of property in the country, it has, perhaps, lost its distinctive character as an import, and has become subject to the taxing power of the State; but while remaining the property of the importer, in his warehouse, in the original form or package in which it was imported, a tax upon it is too plainly a duty on imports, to escape the prohibition in the Constitution.",Constitution Analysis
2268314475,FALSE,finalized,3,5/2/2019 4:16,gender_generalization,1,,,,,"[176] The constitutional requirement is satisfied if the nonresident is given access to the courts of the State upon terms which, in themselves, are reasonable and adequate for the enforcing of any rights he may have, even though they may not be technically the same as those accorded to resident citizens.",Constitution Analysis
2268314476,FALSE,finalized,3,5/2/2019 4:06,not_a_gender_generalization,1,,,,,"[185] Justice McReynolds, speaking for the dissenting Justices, labelled the controls imposed by the challenged statute as a fanciful scheme to protect the farmer against undue exactions by prescribing the price at which milk disposed of by him at will may be resold.",Constitution Analysis
2268314477,FALSE,finalized,3,5/2/2019 4:24,not_a_gender_generalization,0.671,,,,,"[186] When, however, by section 34 of the Jones Merchant Marine Act of 1920 the same President was authorized and directed within ninety days to give notice to the other parties to certain treaties, which the act infracted, of the termination thereof, he refused to comply, asserting that he did not deem the direction contained in section 34 * * * an exercise of any constitutional power possessed by Congress.",Constitution Analysis
2268314478,FALSE,finalized,3,5/2/2019 3:21,not_a_gender_generalization,0.6669,,,,,[192] The right to sue for recovery of taxes paid may be conditioned upon an appeal to the Commissioner and his refusal to refund.,Constitution Analysis
2268314479,FALSE,finalized,3,5/2/2019 3:10,gender_generalization,0.6752,,,,,"[193] The duty to surrender is not absolute and unqualified; if the laws of the State to which the fugitive has fled have been put in force against him, and he is imprisoned there, the demands of those laws may be satisfied before the duty of obedience to the requisition arises.",Constitution Analysis
2268314480,FALSE,finalized,3,5/2/2019 12:39,gender_generalization,0.6236,,,,,"[194] On the second argument, it was again maintained for the plaintiff that the defendant was liable at the common law on the general bailment, citing Southcote's Case, and also that, by the Roman and maritime law, he was liable as a public carrier and master of a ship.",Common Law
2268314481,FALSE,finalized,3,5/2/2019 12:32,gender_generalization,1,,,,,"[2] At the command _Front,_ given when the ranks are aligned, each Scout turns her head and eyes to the front and drops the hand at her side.",girl scouts
2268314482,FALSE,finalized,3,5/2/2019 3:51,gender_generalization,0.6716,,,,,"[2] Under the Twentieth Amendment, § 3, in case a President is not chosen before the time for beginning of his term, the Vice President-elect shall act as President, until a President shall have qualified.",Constitution Analysis
2268314483,FALSE,finalized,3,5/2/2019 3:30,not_a_gender_generalization,1,,,,,"[20] Justice Frankfurter presented a concurring opinion for himself and Justices Jackson, Rutledge and Burton.",Constitution Analysis
2268314484,FALSE,finalized,3,5/2/2019 4:12,gender_generalization,1,,,,,"[200] A person indicted a second time for the same offense is nonetheless a fugitive from justice by reason of the fact that after dismissal of the first indictment, on which he was originally indicted, he left the State with the knowledge of, or without objection by, State authorities.",Constitution Analysis
2268314485,FALSE,finalized,3,5/2/2019 4:12,gender_generalization,1,,,,,[201] But a defendant cannot be extradited if he was only constructively present in the demanding State at the time of the commission of the crime charged.,Constitution Analysis
2268314486,FALSE,finalized,3,5/2/2019 4:17,not_a_gender_generalization,0.6458,,,,,"[204] Justice Sutherland's later assertion in the Curtiss-Wright case[205] that the powers to declare and wage war, to conclude peace, to make treaties, etc., belong to the Federal Government as the necessary concomitants of nationality leaves even less room for the notion of a limited treaty-making power, as indeed appears from his further statement that as a member of the family of nations, the right and power of the United States * * * are equal to the right and power of the other members of the international family.",Constitution Analysis
2268314487,FALSE,finalized,3,5/2/2019 12:33,gender_generalization,1,,,,,[204] PROCEDURE FOR REMOVAL Only after a person has been charged with crime in the regular course of judicial proceedings is the governor of a State entitled to make demand for his return from another State.,Constitution Analysis
2268314488,FALSE,finalized,3,5/2/2019 3:37,not_a_gender_generalization,0.6792,,,,,[205] The person demanded has no constitutional right to be heard before the governor of the State in which he is found on the question whether he has been substantially charged with crime and is a fugitive from justice.,Constitution Analysis
2268314489,FALSE,finalized,3,5/2/2019 4:01,gender_generalization,1,,,,,"[209] A defendant will, however, be discharged on _habeas corpus_ if he shows by clear and satisfactory evidence that he was outside the demanding State at the time of the crime.",Constitution Analysis
2268314490,FALSE,finalized,3,5/2/2019 4:20,gender_generalization,1,,,,,"[212] Similarly, measures authorizing the President to reorganize executive agencies have provided that a Reorganization Plan promulgated by him should be reported by Congress and should not become effective if one[213] or both[214] Houses adopted a resolution disapproving it.",Constitution Analysis
2268314491,FALSE,finalized,3,5/2/2019 3:37,gender_generalization,1,,,,,"[22] When a person is charged with more than one crime, the right to a speedy trial does not require that he be first tried on the earliest indictment; no constitutional right is violated by removing him to another jurisdiction for trial on a later indictment.",Constitution Analysis
2268314492,FALSE,finalized,3,5/2/2019 12:39,gender_generalization,1,,,,,[229] It is very true that in modern times many of the effects of either relation--master and servant or principal and agent--may be accounted for as the result of acts done by the master himself.,Common Law
2268314493,FALSE,finalized,3,5/2/2019 3:26,gender_generalization,0.6885,,,,,[23] A warrant issued upon an information stating only that affiant has good reason to believe and does believe that defendant has contraband materials in his possession is clearly bad under the Fourth Amendment.,Constitution Analysis
2268314494,FALSE,finalized,3,5/2/2019 4:18,gender_generalization,1,,,,,"[250] The case arose on indictments under section 6 of the so-called Enforcement Act of May 30, 1870,[251] which read as follows: That if two or more persons shall band or conspire together, or go in disguise upon the public highway, or upon the premises of another, with intent to violate any provision of this act, or to injure, oppress, threaten, or intimidate any citizen, with intent to prevent or hinder his free exercise and enjoyment of any right or privilege granted or secured to him by the Constitution or laws of the United States, or because of his having exercised the same, such persons shall be held guilty of felony, etc.",Constitution Analysis
2268314495,FALSE,finalized,3,5/2/2019 4:24,gender_generalization,0.6435,,,,,"[26] However, mandamus proceedings to compel a State official to perform a plain or ministerial duty which admits of no discretion are not suits against the State since the official is regarded as acting in his individual capacity in failing to act according to law.",Constitution Analysis
2268314496,FALSE,finalized,3,5/2/2019 2:46,not_a_gender_generalization,1,,,,,"[280] In an advisory opinion which it rendered for President Monroe at his request on the power of Congress to appropriate funds for public improvements, the Court answered that such appropriations might be properly made under the war and postal powers.",Constitution Analysis
2268314497,FALSE,finalized,3,5/2/2019 3:23,gender_generalization,0.6747,,,,,"[285] In a case of that reign, the defendant retained an attorney to act in a suit for a third person, and promised to pay him all his fees and expenses.",Common Law
2268314498,FALSE,finalized,3,5/2/2019 4:08,gender_generalization,0.6471,,,,,[289] The Government does not have to compensate a riparian owner for cutting off his access to navigable waters by changing the course of the stream in order to improve navigation.,Constitution Analysis
2268314499,FALSE,finalized,3,5/2/2019 3:33,not_a_gender_generalization,0.672,,,,,[292] The interest of a riparian owner in keeping the level of a navigable stream low enough to maintain a power head for his use was not one for which he was entitled to be compensated when the Government raised the level by erecting a dam to improve navigation.,Constitution Analysis
2268314500,FALSE,finalized,3,5/2/2019 3:27,not_a_gender_generalization,0.3511,,,,,"[305] But a Senate recess does not include holiday or temporary adjournments,[306] while by an act of Congress, if the vacancy existed when the Senate was in session, the _ad interim_ appointee may receive no salary until he has been confirmed by the Senate.",Constitution Analysis
2268314501,FALSE,finalized,3,5/2/2019 15:10,gender_generalization,0.6685,,,,,"[308] Blue Sky Laws; Laws Regulating Boards of Trade, Etc.--In the exercise of its power to prevent fraud and imposition, a State may regulate trading in securities within its borders, require a license of those engaging in such dealing, make issuance of a license dependent on a public officer's being satisfied of the good repute of the applicants, and permit him, subject to judicial review of his findings, to revoke the same.",Constitution Analysis
2268314502,FALSE,finalized,3,5/2/2019 4:01,not_a_gender_generalization,1,,,,,[309] COMMERCE TODAY Later in his opinion Marshall qualified the word intercourse with the word commercial.,Constitution Analysis
2268314503,FALSE,finalized,3,5/2/2019 4:12,gender_generalization,0.6981,,,,,"[31] GAINS IN THE FORM OF REAL ESTATE; WHEN TAXABLE AS INCOME When through forfeiture of a lease in 1933, a landlord became possessed of a new building erected on his land by the outgoing tenant, the resulting gain to the former was taxable to him in that year.",Constitution Analysis
2268314504,FALSE,finalized,3,5/2/2019 2:45,gender_generalization,0.6799,,,,,"[31] THE JURISDICTIONAL QUESTION In short, when the subject matter of a suit is merely the determination of the defendant's liability, it is necessary that it should appear from the record that the defendant had been brought within the jurisdiction of the court by personal service of process, or his voluntary appearance, or that he had in some manner authorized the proceeding.",Constitution Analysis
2268314505,FALSE,finalized,3,5/2/2019 4:11,gender_generalization,1,,,,,[311] The holding in the Myers case boils down to the proposition that the Constitution endows the President with an illimitable power to remove all officers in whose appointment he has participated with the exception of judges of the United States.,Constitution Analysis
